title,brand,salesSite,isEachShippingFee,isPremium,isCrossBorderShipping,isOnlineOnly,shippingFee,shippingFreeOver,availableDeliveryJeju,availableDeliveryIsland,shippingFeeJeju,shippingFeeIsland,courierCompany,pdtName,optionName1,optionName2,totalReviewQty,totalScore,tagList1,tagList2,tagList3,tagList4,ctgL4Id,thumbImgPath1,thumbImgPath2,thumbImgPath3,thumbImgPath4,detailImgPath,modelCode1,optionValue1,optionValue2,stock1,price1,modelCode2,optionValue3,optionValue4,stock2,price2,modelCode3,optionValue5,optionValue6,stock3,price3,modelCode4,optionValue7,optionValue8,stock4,price4,returnCity,returnStreet,returnDetail,returnPostalCode,exchangeShippingFee,returnShippingFee,consignmentName,consignmentCity,consignmentStreet,consignmentDetail,consignmentPostalCode,mailOrderNum
"[INTEX] 인텍스 자쿠지, 어린이 물놀이 수영장, 풀장 중대 베스트 ACC 모음전",이나바,신세계백화점,false,true,true,true,0,50000,true,true,5000,7000,CJ택배,운동기구,색상,사이즈,442,48,중량,셔츠,간식,티셔츠,428,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,red,S,463,1369320,91058392,blue,M,26,7806200,91058392,black,M,417,4942090,TEE-NEW JDI SWOOSH,blue,SS,852,2379480,Busan,Haeundae,1F,13245,2500,6000,넥스트젠팩,Busan,Haeundae,101호,98475,2015-대구중구-1234
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),이나바,신세계백화점,true,true,true,true,3000,50000,true,true,5000,10000,CJ택배,운동기구,색상,사이즈,149,16,나이키,고양이밥,푸마,츄르,1130,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,920193850,red,L,792,7426630,TEE-NEW JDI SWOOSH,green,M,87,4043700,91058392,pink,L,75,894740,91058392,pink,S,87,7289410,Seoul,Haeundae,405호,12345,5000,6000,넥스트젠팩,Jeju,Gangnam,405호,98475,2022-부산-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,나이키,이마트몰,true,true,true,false,10000,1000000,true,true,7000,7000,CJ택배,티셔츠,색상,사이즈,467,43,주니어,반팔티,바벨,티셔츠,1116,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,91058392,pink,XL,704,6714250,TEE-NEW JDI SWOOSH,red,XL,728,6298310,920193850,black,L,641,1816980,920193850,green,SS,792,7531790,Jeju,Gangnam,노란대문,98475,2500,6000,넥스트젠팩,Jeju,Gangnam,405호,23853,2015-대구중구-1234
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),이나바,신세계백화점,false,false,false,true,0,50000,true,true,3000,7000,CJ택배,티셔츠,색상,사이즈,419,27,티셔츠,덤벨,푸마,바벨,1180,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,TEE-NEW JDI SWOOSH,red,L,17,1220230,920193850,pink,XL,85,4920980,TEE-NEW JDI SWOOSH,black,M,974,2910460,91058392,red,L,564,9486510,Seoul,Haeundae,101호,13245,6000,5000,넥스트젠팩,Busan,Haeundae,1F,98475,2015-대구중구-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,이나바,신세계백화점,true,false,false,true,0,1000000,true,true,7000,10000,우체국택배,수영장,색상,사이즈,120,14,중량,반팔티,나이키,반팔티,1025,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,TEE-NEW JDI SWOOSH,pink,SS,925,3977710,TEE-NEW JDI SWOOSH,red,XL,506,2180970,920193850,black,SS,274,6158110,91058392,red,M,196,2002910,Seoul,Gangnam,노란대문,23853,2500,6000,넥스트젠팩,Busan,Gangnam,101호,13245,2022-부산-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,나이키,이마트몰,true,true,true,true,3000,50000,true,true,5000,7000,CJ택배,운동기구,색상,사이즈,269,16,푸마,라운드넥,바벨,셔츠,1636,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,91058392,blue,L,619,1590250,TEE-NEW JDI SWOOSH,pink,M,364,1172920,TEE-NEW JDI SWOOSH,red,M,18,7363330,920193850,blue,SS,3,8798720,Busan,Gangnam,노란대문,13245,3000,6000,넥스트젠팩,Busan,Haeundae,101호,12345,2022-부산-1234
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),이나바,이마트몰,false,true,false,true,10000,50000,true,true,7000,10000,CJ택배,수영장,색상,사이즈,133,38,츄르,츄르,간식,고양이밥,1562,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,pink,XL,518,8667830,920193850,red,M,153,2587580,91058392,black,XL,962,131630,920193850,blue,M,463,1107620,Busan,Haeundae,101호,13245,3000,3000,넥스트젠팩,Seoul,Gangnam,101호,12345,2015-대구중구-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,나이키,신세계백화점,false,true,true,true,3000,50000,true,true,5000,10000,CJ택배,수영장,색상,사이즈,449,22,라운드넥,반팔,셔츠,셔츠,1039,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,920193850,blue,L,125,5264740,TEE-NEW JDI SWOOSH,black,XL,880,2549760,91058392,red,S,375,4514100,91058392,red,XL,380,8974830,Jeju,Gangnam,101호,12345,5000,2500,넥스트젠팩,Seoul,Haeundae,101호,13245,2022-부산-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,인텍스,신세계백화점,false,true,true,false,3000,1000000,true,true,3000,10000,CJ택배,츄르,색상,사이즈,456,22,중량,수영장,수영장,고양이,371,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,blue,M,920,9605240,920193850,red,S,56,4978440,91058392,pink,XL,429,8782320,920193850,pink,M,835,9277090,Busan,Gangnam,노란대문,13245,5000,5000,넥스트젠팩,Jeju,Haeundae,405호,98475,2022-부산-1234
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),이나바,신세계몰,false,true,false,false,0,50000,true,true,5000,10000,CJ택배,수영장,색상,사이즈,193,21,나이키,주니어,간식,나이키,2219,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,920193850,red,S,745,1991660,TEE-NEW JDI SWOOSH,red,L,349,4341800,91058392,green,L,783,6226050,920193850,blue,L,101,6836030,Jeju,Haeundae,405호,98475,3000,2500,넥스트젠팩,Jeju,Gangnam,405호,13245,2015-대구중구-1234
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),인텍스,신세계백화점,true,false,true,true,0,50000,true,true,7000,7000,우체국택배,츄르,색상,사이즈,323,16,주니어,셔츠,반팔티,주니어,2026,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,TEE-NEW JDI SWOOSH,red,M,149,8944450,TEE-NEW JDI SWOOSH,green,S,860,3190720,920193850,pink,S,200,8876340,91058392,pink,SS,465,3473990,Jeju,Haeundae,101호,13245,6000,5000,넥스트젠팩,Busan,Haeundae,노란대문,13245,2022-부산-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,이나바,이마트몰,true,false,true,true,10000,1000000,true,true,3000,10000,우체국택배,운동기구,색상,사이즈,213,26,나이키,츄르,옷,츄르,2531,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,91058392,green,M,434,3674050,91058392,black,M,463,8406790,TEE-NEW JDI SWOOSH,black,SS,180,3533260,TEE-NEW JDI SWOOSH,black,XL,388,9183360,Jeju,Haeundae,101호,12345,3000,6000,넥스트젠팩,Seoul,Gangnam,노란대문,12345,2022-부산-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,이나바,이마트몰,false,true,true,true,10000,50000,true,true,3000,7000,CJ택배,티셔츠,색상,사이즈,129,33,고양이밥,간식,고양이밥,고양이,2528,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,91058392,pink,SS,642,4302380,91058392,blue,S,730,5910810,TEE-NEW JDI SWOOSH,red,M,623,8774800,920193850,red,XL,239,8309390,Jeju,Gangnam,1F,98475,6000,6000,넥스트젠팩,Busan,Haeundae,1F,98475,2022-부산-1234
"[INTEX] 인텍스 자쿠지, 어린이 물놀이 수영장, 풀장 중대 베스트 ACC 모음전",나이키,이마트몰,false,true,true,true,10000,1000000,true,true,5000,10000,우체국택배,수영장,색상,사이즈,210,28,고양이,고양이밥,츄르,중량,1484,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,TEE-NEW JDI SWOOSH,blue,XL,389,9636240,91058392,pink,M,592,2222920,91058392,green,S,891,9697780,920193850,blue,L,931,9857920,Jeju,Haeundae,405호,98475,3000,2500,넥스트젠팩,Busan,Haeundae,101호,23853,2015-대구중구-1234
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),나이키,이마트몰,true,true,true,false,10000,50000,true,true,3000,10000,우체국택배,티셔츠,색상,사이즈,415,30,반팔,고양이,반팔티,티셔츠,1942,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,91058392,red,S,816,3515010,91058392,black,S,327,7337960,91058392,blue,XL,579,606440,920193850,pink,XL,873,9825720,Busan,Haeundae,노란대문,13245,2500,3000,넥스트젠팩,Jeju,Gangnam,405호,98475,2022-부산-1234
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),이나바,신세계몰,false,false,true,true,3000,50000,true,true,5000,7000,우체국택배,티셔츠,색상,사이즈,43,40,나이키,바벨,주니어,츄르,2382,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,91058392,red,S,141,894400,91058392,pink,L,723,3644370,920193850,red,L,493,2971260,920193850,pink,XL,41,3631160,Busan,Haeundae,1F,12345,2500,5000,넥스트젠팩,Jeju,Haeundae,405호,12345,2015-대구중구-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,인텍스,신세계몰,false,false,false,false,0,50000,true,true,7000,7000,우체국택배,수영장,색상,사이즈,137,9,간식,고양이,중량,중량,770,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,TEE-NEW JDI SWOOSH,red,L,636,907950,920193850,pink,XL,651,3984180,920193850,pink,S,76,8063510,920193850,red,M,921,316690,Seoul,Haeundae,405호,23853,6000,5000,넥스트젠팩,Busan,Gangnam,1F,13245,2022-부산-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,이나바,이마트몰,true,true,false,false,10000,1000000,true,true,5000,7000,우체국택배,츄르,색상,사이즈,465,16,푸마,라운드넥,반팔,반팔티,313,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,TEE-NEW JDI SWOOSH,green,M,692,1057860,920193850,pink,M,985,312620,920193850,green,M,573,3731750,920193850,blue,M,192,3407880,Seoul,Gangnam,405호,98475,6000,6000,넥스트젠팩,Busan,Haeundae,405호,23853,2022-부산-1234
