board_detail_url,ctgL2,ctgL3,ctgL4,thumbImgPath1,title,brand,salesSite,price,shippingFee,isPremium,isCrossBorderShipping,totalReviewQty,totalScore,isEachShippingFee,isOnlineOnly,shippingFreeOver,availableDeliveryJeju,availableDeliveryIsland,shippingFeeJeju,shippingFeeIsland,courierCompany,pdtName,optionName1,optionName2,tagList1,tagList2,tagList3,tagList4,detailImgPath,modelCode1,optionValue1,optionValue2,stock1,price1,modelCode2,optionValue3,optionValue4,stock2,price2,modelCode3,optionValue5,optionValue6,stock3,price3,modelCode4,optionValue7,optionValue8,stock4,price4,returnCity,returnStreet,returnDetail,returnPostalCode,exchangeShippingFee,returnShippingFee,consignmentName,consignmentCity,consignmentStreet,consignmentDetail,consignmentPostalCode,mailOrderNum
https://m-shinsegaemall.ssg.com/special/burberryItemView.ssg?itemId=1000036642466&siteNo=6004&salestrNo=6005&itemSsgCollectYn=N,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/66/24/64/item/1000036642466_i1_232.jpg,다이아몬드 퀼팅 체온조절 반 재킷,버버리(BURBERRY),신세계몰,1620000,0,false,false,200,50,false,false,50000,true,true,3000,10000,로젠택배,버버리(BURBERRY),색상,사이즈,버버리(BURBERRY),명품/수입의류,여성 아우터,자켓,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,91058392,red,S,55,1620000,920193850,green,SS,71,1620000,TEE-NEW JDI SWOOSH,blue,S,8,1620000,91058392,pink,SS,84,1620000,Seoul,Haeundae,노란대문,98475,2500,5000,넥스트젠팩,Seoul,Gangnam,101호,13245,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000267241192&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/92/11/24/item/1000267241192_i1_232.jpg,[쟈딕앤볼테르]22SS 여성 Visit Crepe 자켓 네이비,쟈딕앤볼테르 (zadig&voltaire),신세계몰,129000,0,false,true,199,22,false,false,50000,true,true,5000,7000,CJ대한통운,쟈딕앤볼테르 (zadig&voltaire),색상,사이즈,쟈딕앤볼테르 (zadig&voltaire),명품/수입의류,여성 아우터,자켓,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,91058392,pink,M,64,129000,91058392,pink,S,91,129000,TEE-NEW JDI SWOOSH,pink,M,73,129000,920193850,pink,L,79,129000,Busan,Gangnam,405호,12345,6000,5000,넥스트젠팩,Busan,Gangnam,405호,98475,2022-부산-1234
https://m-shinsegaemall.ssg.com/special/burberryItemView.ssg?itemId=1000270741879&siteNo=6004&salestrNo=6005&itemSsgCollectYn=N,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/79/18/74/item/1000270741879_i1_232.jpg,다이아몬드 퀼팅 체온조절 재킷,버버리(BURBERRY),신세계몰,1420000,0,false,false,97,27,false,false,1000000,true,true,7000,7000,한진택배,버버리(BURBERRY),색상,사이즈,버버리(BURBERRY),명품/수입의류,여성 아우터,자켓,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,91058392,blue,M,67,1420000,920193850,black,M,95,1420000,TEE-NEW JDI SWOOSH,blue,M,21,1420000,TEE-NEW JDI SWOOSH,blue,SS,21,1420000,Busan,Gangnam,405호,98475,3000,3000,넥스트젠팩,Busan,Gangnam,1F,12345,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000207388072&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/72/80/38/item/1000207388072_i1_232.jpg,바버 여성 아난데일 퀼트 자켓 LQU0475,바버(Barbour),신세계몰,180000,0,false,true,133,15,false,false,1000000,true,true,3000,10000,로젠택배,바버(Barbour),색상,사이즈,바버(Barbour),명품/수입의류,여성 아우터,자켓,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,91058392,black,S,85,180000,TEE-NEW JDI SWOOSH,blue,L,38,180000,920193850,blue,L,6,180000,TEE-NEW JDI SWOOSH,black,XL,36,180000,Jeju,Haeundae,1F,13245,2500,2500,넥스트젠팩,Busan,Haeundae,노란대문,23853,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000373202984&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/84/29/20/item/1000373202984_i1_232.jpg,[코메타엘엑스] MONCLER 몽클레어 여성 구스다운 롱 패딩 가디건 F10939B50900-742,몽클레어 (MONCLER),신세계몰,1270000,0,false,false,10,50,false,false,50000,true,true,5000,7000,CJ대한통운,몽클레어 (MONCLER),색상,사이즈,몽클레어 (MONCLER),명품/수입의류,여성 아우터,자켓,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,TEE-NEW JDI SWOOSH,black,L,0,1270000,TEE-NEW JDI SWOOSH,black,L,67,1270000,91058392,red,L,13,1270000,920193850,blue,M,25,1270000,Seoul,Gangnam,노란대문,13245,6000,2500,넥스트젠팩,Jeju,Gangnam,101호,23853,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000458476552&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/52/65/47/item/1000458476552_i1_232.jpg,22FW 여성 X K-WAY 레드 와펜 바람막이 AZ-J501-051-1,꼼데가르송,신세계몰,359000,0,false,false,187,42,false,false,50000,true,true,7000,10000,CJ대한통운,꼼데가르송,색상,사이즈,꼼데가르송,명품/수입의류,여성 아우터,자켓,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,TEE-NEW JDI SWOOSH,blue,S,93,359000,91058392,pink,SS,51,359000,91058392,blue,M,54,359000,TEE-NEW JDI SWOOSH,blue,SS,94,359000,Busan,Gangnam,101호,12345,2500,3000,넥스트젠팩,Jeju,Gangnam,1F,98475,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000062107198&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/98/71/10/item/1000062107198_i1_232.jpg,바버 비드넬 BEADNELL 왁스 자켓 세이지 올리브 블랙,바버(Barbour),신세계몰,195000,0,false,true,133,41,false,false,50000,true,true,3000,7000,롯데글로벌로지스,바버(Barbour),색상,사이즈,바버(Barbour),명품/수입의류,여성 아우터,자켓,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,TEE-NEW JDI SWOOSH,red,XL,77,195000,91058392,black,S,45,195000,920193850,black,SS,72,195000,920193850,black,S,13,195000,Jeju,Haeundae,노란대문,13245,6000,5000,넥스트젠팩,Busan,Gangnam,1F,23853,2022-부산-1234
https://m-shinsegaemall.ssg.com/special/burberryItemView.ssg?itemId=1000270742011&siteNo=6004&salestrNo=6005&itemSsgCollectYn=N,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/11/20/74/item/1000270742011_i1_232.jpg,코듀로이 칼라 다이아몬드 퀼팅 재킷,버버리(BURBERRY),신세계몰,1580000,0,false,false,115,23,false,false,1000000,true,true,7000,10000,로젠택배,버버리(BURBERRY),색상,사이즈,버버리(BURBERRY),명품/수입의류,여성 아우터,자켓,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,91058392,green,M,69,1580000,TEE-NEW JDI SWOOSH,black,XL,11,1580000,TEE-NEW JDI SWOOSH,pink,S,32,1580000,91058392,blue,XL,32,1580000,Busan,Haeundae,1F,12345,6000,6000,넥스트젠팩,Jeju,Gangnam,101호,23853,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000483676462&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/62/64/67/item/1000483676462_i1_232.jpg,[에르노] AMELIA 아멜리아 다운 패딩(PI0505DIC 12017 2600),HERNO(에르노),신세계몰,786000,0,true,false,135,47,false,false,1000000,true,true,5000,7000,로젠택배,HERNO(에르노),색상,사이즈,HERNO(에르노),명품/수입의류,여성 아우터,자켓,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,91058392,pink,S,97,786000,91058392,pink,L,17,786000,920193850,black,L,20,786000,920193850,red,S,9,786000,Jeju,Gangnam,101호,12345,2500,2500,넥스트젠팩,Jeju,Gangnam,405호,13245,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000479921679&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https://sitem.ssgcdn.com/79/16/92/item/1000479921679_i1_232.jpg,[9월 SSG.LIVE]에르노 여성 아멜리아 구스 다크베이지 패딩 PI0505DIC 12017 2600,HERNO(에르노),신세계몰,781000,0,false,false,117,40,false,false,50000,true,true,3000,10000,CJ대한통운,HERNO(에르노),색상,사이즈,HERNO(에르노),명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,TEE-NEW JDI SWOOSH,green,L,24,781000,920193850,pink,S,87,781000,920193850,red,M,32,781000,920193850,black,SS,21,781000,Jeju,Gangnam,1F,23853,6000,5000,넥스트젠팩,Busan,Haeundae,노란대문,23853,2015-대구중구-1234
