board_detail_url,ctgL2,ctgL3,ctgL4,thumbImgPath1,title,brand,salesSite,price,shippingFee,isPremium,isCrossBorderShipping,totalReviewQty,totalScore,isEachShippingFee,isOnlineOnly,shippingFreeOver,availableDeliveryJeju,availableDeliveryIsland,shippingFeeJeju,shippingFeeIsland,courierCompany,pdtName,optionName1,optionName2,tagList1,tagList2,tagList3,tagList4,detailImgPath,modelCode1,optionValue1,optionValue2,stock1,price1,modelCode2,optionValue3,optionValue4,stock2,price2,modelCode3,optionValue5,optionValue6,stock3,price3,modelCode4,optionValue7,optionValue8,stock4,price4,returnCity,returnStreet,returnDetail,returnPostalCode,exchangeShippingFee,returnShippingFee,consignmentName,consignmentCity,consignmentStreet,consignmentDetail,consignmentPostalCode,mailOrderNum
https://m-shinsegaemall.ssg.com/special/burberryItemView.ssg?itemId=1000036642466&siteNo=6004&salestrNo=6005&itemSsgCollectYn=N,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/66/24/64/item/1000036642466_i1_232.jpg,다이아몬드 퀼팅 체온조절 반 재킷,버버리(BURBERRY),신세계몰,1620000,0,false,false,112,17,false,false,1000000,true,true,3000,10000,롯데글로벌로지스,버버리(BURBERRY),색상,사이즈,버버리(BURBERRY),명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,red,M,86,1620000,920193850,red,SS,75,1620000,TEE-NEW JDI SWOOSH,green,XL,6,1620000,TEE-NEW JDI SWOOSH,blue,SS,65,1620000,Seoul,Gangnam,노란대문,23853,2500,3000,넥스트젠팩,Busan,Gangnam,1F,13245,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000267241192&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/92/11/24/item/1000267241192_i1_232.jpg,[쟈딕앤볼테르]22SS 여성 Visit Crepe 자켓 네이비,쟈딕앤볼테르 (zadig&voltaire),신세계몰,129000,0,false,false,137,13,false,false,1000000,true,true,7000,7000,로젠택배,쟈딕앤볼테르 (zadig&voltaire),색상,사이즈,쟈딕앤볼테르 (zadig&voltaire),명품/수입의류,여성 아우터,자켓,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,920193850,pink,S,91,129000,920193850,blue,SS,10,129000,920193850,green,L,19,129000,920193850,black,XL,55,129000,Jeju,Haeundae,노란대문,23853,6000,6000,넥스트젠팩,Seoul,Haeundae,노란대문,98475,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/special/burberryItemView.ssg?itemId=1000270741879&siteNo=6004&salestrNo=6005&itemSsgCollectYn=N,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/79/18/74/item/1000270741879_i1_232.jpg,다이아몬드 퀼팅 체온조절 재킷,버버리(BURBERRY),신세계몰,1420000,0,false,false,116,43,false,false,1000000,true,true,3000,7000,롯데글로벌로지스,버버리(BURBERRY),색상,사이즈,버버리(BURBERRY),명품/수입의류,여성 아우터,자켓,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,TEE-NEW JDI SWOOSH,black,M,33,1420000,920193850,green,S,47,1420000,91058392,pink,L,7,1420000,TEE-NEW JDI SWOOSH,red,XL,92,1420000,Seoul,Haeundae,101호,23853,6000,3000,넥스트젠팩,Jeju,Gangnam,405호,98475,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000207388072&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/72/80/38/item/1000207388072_i1_232.jpg,바버 여성 아난데일 퀼트 자켓 LQU0475,바버(Barbour),신세계몰,180000,0,false,false,143,46,false,false,50000,true,true,3000,7000,롯데글로벌로지스,바버(Barbour),색상,사이즈,바버(Barbour),명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,91058392,pink,XL,77,180000,91058392,pink,SS,85,180000,TEE-NEW JDI SWOOSH,red,XL,91,180000,91058392,pink,XL,66,180000,Seoul,Haeundae,노란대문,23853,3000,2500,넥스트젠팩,Busan,Gangnam,1F,12345,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000373202984&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/84/29/20/item/1000373202984_i1_232.jpg,[코메타엘엑스] MONCLER 몽클레어 여성 구스다운 롱 패딩 가디건 F10939B50900-742,몽클레어 (MONCLER),신세계몰,1270000,0,false,false,93,40,false,false,1000000,true,true,3000,7000,한진택배,몽클레어 (MONCLER),색상,사이즈,몽클레어 (MONCLER),명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,TEE-NEW JDI SWOOSH,green,L,10,1270000,91058392,green,M,62,1270000,920193850,green,S,77,1270000,920193850,black,L,95,1270000,Jeju,Haeundae,1F,12345,5000,5000,넥스트젠팩,Seoul,Haeundae,1F,12345,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000458476552&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/52/65/47/item/1000458476552_i1_232.jpg,22FW 여성 X K-WAY 레드 와펜 바람막이 AZ-J501-051-1,꼼데가르송,신세계몰,359000,0,false,false,7,8,false,false,50000,true,true,5000,10000,롯데글로벌로지스,꼼데가르송,색상,사이즈,꼼데가르송,명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,TEE-NEW JDI SWOOSH,red,SS,12,359000,920193850,red,XL,78,359000,TEE-NEW JDI SWOOSH,pink,S,31,359000,91058392,blue,XL,47,359000,Busan,Gangnam,405호,12345,2500,5000,넥스트젠팩,Busan,Gangnam,405호,12345,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000062107198&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/98/71/10/item/1000062107198_i1_232.jpg,바버 비드넬 BEADNELL 왁스 자켓 세이지 올리브 블랙,바버(Barbour),신세계몰,195000,0,false,false,162,34,false,false,50000,true,true,7000,7000,롯데글로벌로지스,바버(Barbour),색상,사이즈,바버(Barbour),명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,91058392,pink,L,89,195000,920193850,blue,SS,98,195000,920193850,red,XL,82,195000,91058392,green,S,94,195000,Jeju,Haeundae,1F,98475,6000,3000,넥스트젠팩,Busan,Haeundae,405호,98475,2022-부산-1234
https://m-shinsegaemall.ssg.com/special/burberryItemView.ssg?itemId=1000270742011&siteNo=6004&salestrNo=6005&itemSsgCollectYn=N,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/11/20/74/item/1000270742011_i1_232.jpg,코듀로이 칼라 다이아몬드 퀼팅 재킷,버버리(BURBERRY),신세계몰,1580000,0,false,false,138,37,false,false,50000,true,true,5000,7000,CJ대한통운,버버리(BURBERRY),색상,사이즈,버버리(BURBERRY),명품/수입의류,여성 아우터,자켓,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,920193850,black,M,61,1580000,920193850,green,SS,38,1580000,920193850,black,M,2,1580000,920193850,red,M,14,1580000,Jeju,Gangnam,405호,23853,6000,5000,넥스트젠팩,Busan,Gangnam,405호,23853,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000483676462&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/62/64/67/item/1000483676462_i1_232.jpg,[에르노] AMELIA 아멜리아 다운 패딩(PI0505DIC 12017 2600),HERNO(에르노),신세계몰,786000,0,false,false,85,20,false,false,50000,true,true,5000,10000,우체국택배,HERNO(에르노),색상,사이즈,HERNO(에르노),명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,green,S,58,786000,TEE-NEW JDI SWOOSH,green,XL,71,786000,91058392,blue,XL,3,786000,920193850,pink,L,65,786000,Seoul,Gangnam,노란대문,13245,2500,2500,넥스트젠팩,Seoul,Gangnam,101호,23853,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000479921679&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,자켓,https:////sitem.ssgcdn.com/79/16/92/item/1000479921679_i1_232.jpg,[9월 SSG.LIVE]에르노 여성 아멜리아 구스 다크베이지 패딩 PI0505DIC 12017 2600,HERNO(에르노),신세계몰,781000,0,false,false,124,10,false,false,50000,true,true,7000,10000,우체국택배,HERNO(에르노),색상,사이즈,HERNO(에르노),명품/수입의류,여성 아우터,자켓,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,red,L,22,781000,920193850,blue,L,53,781000,91058392,black,SS,9,781000,920193850,black,S,61,781000,Jeju,Haeundae,1F,98475,2500,6000,넥스트젠팩,Busan,Haeundae,1F,98475,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000483277443&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,점퍼,https:////sitem.ssgcdn.com/43/74/27/item/1000483277443_i1_232.jpg,[몽클레어] 샴본 1A00048 539AQ 999 여자 후드 패딩 점퍼 자켓,몽클레어 (MONCLER),신세계몰,1718000,0,false,false,35,25,false,false,50000,true,true,5000,7000,CJ대한통운,몽클레어 (MONCLER),색상,사이즈,몽클레어 (MONCLER),명품/수입의류,여성 아우터,점퍼,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,920193850,blue,L,17,1718000,91058392,pink,XL,52,1718000,920193850,blue,L,77,1718000,TEE-NEW JDI SWOOSH,blue,M,37,1718000,Seoul,Haeundae,101호,12345,2500,5000,넥스트젠팩,Jeju,Haeundae,1F,23853,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000325195279&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,점퍼,https:////sitem.ssgcdn.com/79/52/19/item/1000325195279_i1_232.jpg,파이어 리버 화이트퍼 MK8508LJ 401 여자 패딩 점퍼,무스너클,신세계몰,805000,0,false,false,106,19,false,false,1000000,true,true,3000,7000,CJ대한통운,무스너클,색상,사이즈,무스너클,명품/수입의류,여성 아우터,점퍼,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,91058392,black,SS,77,805000,91058392,pink,S,88,805000,91058392,black,SS,18,805000,TEE-NEW JDI SWOOSH,red,SS,74,805000,Jeju,Haeundae,405호,23853,5000,2500,넥스트젠팩,Jeju,Gangnam,405호,13245,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000478743398&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,점퍼,https:////sitem.ssgcdn.com/98/33/74/item/1000478743398_i1_232.jpg,[에르노] PI0505DIC 12017 4545 여자 패딩 점퍼 자켓,HERNO(에르노),신세계몰,655000,0,false,false,46,39,false,false,50000,true,true,7000,7000,우체국택배,HERNO(에르노),색상,사이즈,HERNO(에르노),명품/수입의류,여성 아우터,점퍼,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,91058392,red,L,89,655000,920193850,blue,S,44,655000,TEE-NEW JDI SWOOSH,green,XL,97,655000,91058392,blue,S,23,655000,Busan,Gangnam,101호,12345,2500,5000,넥스트젠팩,Busan,Haeundae,노란대문,12345,2015-대구중구-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000483277576&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,점퍼,https:////sitem.ssgcdn.com/76/75/27/item/1000483277576_i1_232.jpg,[몽클레어] 캄발레스 1C00032 539AQ 999 여자 후드 패딩 점퍼 자켓,몽클레어 (MONCLER),신세계몰,2029000,0,false,false,153,49,false,false,50000,true,true,7000,7000,로젠택배,몽클레어 (MONCLER),색상,사이즈,몽클레어 (MONCLER),명품/수입의류,여성 아우터,점퍼,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,920193850,blue,S,32,2029000,TEE-NEW JDI SWOOSH,black,L,55,2029000,91058392,green,XL,8,2029000,920193850,green,SS,56,2029000,Busan,Haeundae,101호,12345,5000,5000,넥스트젠팩,Jeju,Gangnam,405호,13245,2022-부산-1234
https://m-shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000288472000&siteNo=6004&salestrNo=6005,명품/수입의류,여성 아우터,점퍼,https:////sitem.ssgcdn.com/00/20/47/item/1000288472000_i1_232.jpg,[페트레이] 사이먼 패딩점퍼 SAIMON (PRWLD002B0F),PEUTEREY(페트레이),신세계몰,740000,0,false,false,180,22,false,false,1000000,true,true,3000,10000,롯데글로벌로지스,PEUTEREY(페트레이),색상,사이즈,PEUTEREY(페트레이),명품/수입의류,여성 아우터,점퍼,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,TEE-NEW JDI SWOOSH,green,XL,74,740000,91058392,green,S,69,740000,91058392,blue,S,60,740000,TEE-NEW JDI SWOOSH,red,SS,21,740000,Busan,Haeundae,1F,23853,6000,2500,넥스트젠팩,Busan,Gangnam,1F,13245,2022-부산-1234
